id;summary;description;label;start_date;end_date;due_date;estimate_hour;estimate_day;story_point;assignee;assignee_id;blocker;pull_request;week_number;sprint_title;sprint_id;priotiry;release_title;release_id;project_name;project_id
1;metrics Northwest;female latency;markets Ford navigating;2024-09-20T19:24:52;2024-09-20T15:06:47;2024-09-20T17:18:24;30925;3151;24024;Soul magenta Incredible;ea;exploit;Chrysler iste;15638;Reggae Volkswagen;27424;TRIVIAL;outlay;8216;male newton Music;10472
2;Royce;Macao transmitting;Bicycle South ampere;2024-09-21T04:36:00;2024-09-20T20:21:08;2024-09-20T18:25:25;31822;23818;26408;microchip;Arkansas discriminate;Cedi;male regional sour;21933;brr radian Hybrid;30267;CRITICAL;East Investor;13461;Account Virtual frictionless;9188
3;Account Country Netherlands;Wooden Electric Southeast;Cyclocross;2024-09-20T18:25:01;2024-09-21T05:45:36;2024-09-20T20:11:54;13773;14117;3324;Northeast;Southwest Inlet Lamborghini;Yuan;Pickup;257;navigate;18298;CRITICAL;which mobile;26761;deposit Manager;22995
4;second Cyclocross;moonscape;Manganese;2024-09-20T13:35:53;2024-09-21T09:32:48;2024-09-21T05:23:40;15887;19594;2240;networks;Polestar male gleefully;Maine Prosacco;Plastic kilogram;4160;generation Corporate interface;7478;MINOR;Lutetium an South;8207;huzzah;9461
5;Turkish;Wooden Chair;Berkshire overriding mid;2024-09-20T16:34:20;2024-09-21T03:22:59;2024-09-20T13:55:45;15701;25465;12584;up Identity azure;Soul;clutter shield synthesizing;occaecati Fish;12155;upon parsing Sports;12653;MAJOR;Virginia yet Networked;15691;farad Bigender Industrial;24627
6;Handmade Bicycle;adapter;complexity;2024-09-20T16:25:48;2024-09-20T17:22:47;2024-09-20T13:25:39;8248;30296;4160;Shemar CFP;Keyboard Trans fuchsia;West Finland;portal;25657;Southwest;19970;MINOR;Southeast candela;23265;Kids Agent;20402
7;Response Isle;Officer Avon yet;Buckinghamshire if Netherlands;2024-09-20T18:10:25;2024-09-20T13:56:15;2024-09-20T23:45:20;22203;1939;25101;Wooden reboot;male;solid;Cotton magnetic port;8168;around;15322;MAJOR;intelligence;3893;Jazz Borders;29722
8;Mini;Oxygen;remodel system up;2024-09-20T18:20:37;2024-09-20T13:18:23;2024-09-21T06:55:52;29488;22909;6269;Checking;Consultant Gorgeous;Berkshire Internal Rubidium;notwithstanding Keyboard;27182;sexy transmitting Georgia;27333;MAJOR;West;15618;ampere;6139
9;laborum;West Cambridgeshire phooey;nap male digital;2024-09-20T14:49:22;2024-09-21T00:35:59;2024-09-20T22:12:33;4042;15468;28903;lime Product card;connecting;red Hybrid;Latin applications;10037;Convertible;21358;NONE;structure Delaware grow;31432;team;15096
10;Southwest;payment amidst;mortally Diesel;2024-09-20T18:02:57;2024-09-20T16:31:51;2024-09-21T04:41:02;2728;27553;29785;Hyundai Boyer;East Hatchback;Granite;alarm technologies;19286;heuristic Cambridgeshire;32469;TRIVIAL;Centers;13444;with;2273
