id;title;start_date;end_date;description;status;note;project_name;project_id
1;black Rustic Jewelery;2024-09-21T07:17:32;2024-09-21T04:02:40;degree male Account;UNRELEASED;reinvent ampere;eek Account Data;8320
2;Electric;2024-09-21T09:19:08;2024-09-20T13:04:10;to;OVERDUE;Rap leading with;synthesize;15034
3;International velit;2024-09-21T03:44:56;2024-09-20T20:10:44;Northwest inventore;UNRELEASED;Shilling;Sleek payment promptly;2206
4;Berkshire joule Northwest;2024-09-20T18:15:46;2024-09-20T18:06:32;partnerships;READY_FOR_RELEASE;female Southwest Integration;atop Computers;3774
5;North;2024-09-20T13:54:20;2024-09-21T05:07:51;virtual;RELEASED;Massachusetts Program zero;Coupe;12632
6;internet cumbersome man;2024-09-21T04:51:26;2024-09-21T07:30:11;override;RELEASED;awkwardly;Cruiser;8069
7;Gasoline;2024-09-21T06:44:20;2024-09-21T03:57:45;South cleverly reinvent;OVERDUE;whiteboard;Puerto;18523
8;invoice Welch;2024-09-21T08:50:51;2024-09-20T18:39:12;Road tan;READY_FOR_RELEASE;Table;Ecuador;17920
9;Assistant Southeast;2024-09-20T18:03:59;2024-09-20T14:56:32;card Switchable Plain;OVERDUE;Southeast primary over;Applications South;31803
10;forenenst;2024-09-21T12:43:47;2024-09-20T13:16:35;perferendis Dodge Books;OVERDUE;MacGyver;Malta;11166
