id;title;start_date;end_date;status;goal
1;Neither West;2024-09-20T20:10:30;2024-09-20T18:07:35;COMPLETE;Enhanced Architect
2;Concrete;2024-09-21T04:38:22;2024-09-20T18:56:50;COMPLETE;Multigender
3;Adelia conception Lawrencium;2024-09-20T18:30:37;2024-09-20T18:14:15;COMPLETE;West ROI ski
4;once whoa garbage;2024-09-21T06:08:39;2024-09-20T17:18:58;COMPLETE;back Account Berkshire
5;pink Blues;2024-09-21T04:42:42;2024-09-20T20:36:03;UNCOMPLETE;Multigender Electric meanwhile
6;evenly invoice Frozen;2024-09-20T16:21:28;2024-09-21T03:11:11;UNCOMPLETE;bypass
7;Product Northwest obnoxiously;2024-09-20T23:51:13;2024-09-20T17:30:30;UNCOMPLETE;sensor Van
8;worriedly;2024-09-21T04:49:44;2024-09-21T06:08:45;ACTIVE;Gasoline Generic Horizontal
9;near logistical;2024-09-20T14:40:34;2024-09-21T06:24:28;ACTIVE;Intersex array
10;Peso;2024-09-20T16:42:17;2024-09-20T16:35:23;COMPLETE;tag ubiquitous mushy
